Canias Kod;Varyans-TR;Varyans-EN;Ana Ürün-TR;Ana Ürün - EN;Moq;Paket Adedi;Status;Kategori;Ana Ürün Kodu;Ürün Kısa Kodu;Katalog ID;Katalog Sayfa Numarası;;;;;;;;;;
01.15.409S-4;STAR A4 AYAKLI ÇERÇEVE STD SET PLRA KIR;"Star Frame Stand Set (Special Serie) Red     A4 300/600
";AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203004;0;;;;;;;;;;
01.15.409S-5;STAR A4 AYAKLI ÇERÇEVE STD SET PLRA MAVİ;Star Frame Stand Set (Special Serie) Blu;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203005;0;;;;;;;;;;
01.15.409S-6;STAR A4 AYAKLI ÇERÇEVE STD SET PLRA SARI;Star Frame Stand Set (Special Serie) Yel;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203006;0;;;;;;;;;;
01.15.409S-7;STAR A4 AYAKLI ÇERÇEVE STD SET PLRA YEŞ;Star Frame Stand Set (Special Serie) Gre;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203007;0;;;;;;;;;;
01.15.409S-8;STAR A4 AYAKLI ÇERÇEVE STD SET PLRA TUR;Star Frame Stand Set (Special Serie) Ora;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203008;0;;;;;;;;;;
01.15.409S-9;STAR A4 AYAKLI ÇERÇEVE STD SET PLRA GRİ;Star Frame Stand Set (Special Serie) Gra;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203009;0;;;;;;;;;;
01.15.509S-1;STD STAR GRİ TABAN TELESKOPİK Y A5 ÇERÇEVE SET ŞEF;"Star Frame Stand Set (Special Serie) Trans. A5 300/ 600

";AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;A;01.2;03;01203;01203010;0;;;;;;;;;;
01.15.509S-2;STD STAR GRİ TABAN TELESKOPİK Y A5 ÇERÇEVE SET SİY;Star Frame Stand Set (Special Serie) Black  A5 300/600;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;A;01.2;03;01203;01203011;0;;;;;;;;;;
01.15.509S-3;STAR A5 AYAKLI ÇERÇEVE STD SET PLRA BEY;Star Frame Stand Set (Special Serie) Whi;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203012;0;;;;;;;;;;
01.15.509S-4;STAR A5 AYAKLI ÇERÇEVE STD SET PLRA KIR;Star Frame Stand Set (Special Serie) Red    A5 300/600;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203013;0;;;;;;;;;;
